,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME
0,3662,SUNBEAM CORP/FL/,199803,03/06/1998,10-K405,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-000413.txt
1,3662,SUNBEAM CORP/FL/,199805,05/15/1998,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-001001.txt
2,3662,SUNBEAM CORP/FL/,199808,08/13/1998,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-000783.txt
3,3662,SUNBEAM CORP/FL/,199811,11/12/1998,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002145.txt
4,3662,SUNBEAM CORP/FL/,199811,11/16/1998,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-98-001203.txt
5,3662,SUNBEAM CORP/FL/,199811,11/25/1998,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002278.txt
6,3662,SUNBEAM CORP/FL/,199812,12/22/1998,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002401.txt
7,3662,SUNBEAM CORP/FL/,199812,12/22/1998,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-98-002402.txt
8,3662,SUNBEAM CORP/FL/,199903,03/31/1999,NT 10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000362.txt
9,3662,SUNBEAM CORP/FL/,199905,05/11/1999,10-K,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-000775.txt
10,3662,SUNBEAM CORP/FL/,199905,05/17/1999,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-000584.txt
11,3662,SUNBEAM CORP/FL/,199906,06/11/1999,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001005.txt
12,3662,SUNBEAM CORP/FL/,199908,08/16/1999,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001074.txt
13,3662,SUNBEAM CORP/FL/,199908,08/19/1999,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001361.txt
14,3662,SUNBEAM CORP/FL/,199911,11/08/1999,10-K/A,https://www.sec.gov/Archives/edgar/data/3662/0000889812-99-003241.txt
15,3662,SUNBEAM CORP/FL/,199911,11/08/1999,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001639.txt
16,3662,SUNBEAM CORP/FL/,199911,11/08/1999,10-Q/A,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001640.txt
17,3662,SUNBEAM CORP/FL/,199911,11/15/1999,NT 10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950172-99-001626.txt
18,3662,SUNBEAM CORP/FL/,199911,11/19/1999,10-Q,https://www.sec.gov/Archives/edgar/data/3662/0000950170-99-001856.txt
19,3982,ALLIS CHALMERS ENERGY INC.,200603,03/22/2006,10-K,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-002926.txt
20,3982,ALLIS CHALMERS ENERGY INC.,200605,05/01/2006,10-K/A,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-004690.txt
21,3982,ALLIS CHALMERS ENERGY INC.,200605,05/10/2006,10-Q,https://www.sec.gov/Archives/edgar/data/3982/0000950129-06-005244.txt
